Ref,Campus ID,Preferred ,Last,Suffix,Sex,Hispanic,Hispanic Origin,Race,Primary Ethnicity,Phone ,Street,City,State,Zip,Country,App Center,Standing,First Gen,Legacy,Faculty Child,Tuition Remission,Submitted Date,Admit Flag,Non Admit Flag,Cancel Flag,Complete Date,Admit Date,Deny Date,Cancel Date,Deposit Date,Entry Term App,Applied to College,Admitted to College,Admitted to Major,Current Bin Name,Admit Reason,Deny Reason,Cancel Reason,School,CEEB,School City,School State,MU Feeder,Test Optional,Raw GPA,Recalc GPA,GPA Scale,GPA Type,Rigor,Essay,ACT Equivalent,Blue and Gold,Category,Cristo Rey,Jesuit,Organization Flag,Type,Staff Assigned,Physical Therapy Status,Athletic Training Status,Sport,FACHEX,Tuition Exchange,Honors,EOP,Twin,Campus Visit,Undocumented,Merit Award,ONE Created Date,ONE Submitted Date
531175291,006264342,,,,F,No,,White,White,,,,WI,53211-1243,United States,UGRD,Freshman,No,,None,,10/30/2022,,,,,,,,,2023 August (Fall Semester),Nursing,Nursing,,To Be Entered TOPT FRE,,,,Divine Savior Holy Angels High School DSHA,501350,Milwaukee,WI,Y,Yes,,,,,,,,Gold,High School,,,,Catholic,,,,,,,,,No,Yes,,,,
066586087,006263269,,,,M,No,,White,White,,,,IL,60439-7705,United States,UGRD,Freshman,Yes,,None,,10/27/2022,,,,10/28/2022,,,,,2023 August (Fall Semester),Engineering,Engineering,,Engineering,,,,Lemont Township High School,142590,Lemont,IL,,No,4.08,3.73,4,Weighted,,,25,,High School,,,,Public,,,,,,,,,No,,,,,
504634243,006261928,,,,F,No,,White,White,,,,IL,60126-4739,United States,UGRD,Freshman,No,,None,,10/23/2022,,,,10/25/2022,,,,,2023 August (Fall Semester),Health Sciences,Health Sciences,,Health Sciences,,,,York Community High School,141805,Elmhurst,IL,Y,No,4,4,4,Unweighted,,,32,Gold,High School,,,,Public,,,,,,,,,No,,,,,
111112093,006263657,,,,M,No,,White,White,,,,WI,54902-9190,United States,UGRD,Freshman,Yes,,None,,10/28/2022,,,,,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,App Received FRE,,,,Oshkosh West High School,501730,Oshkosh,WI,Y,No,,,,,,,,Former Blue,High School,,,,Public,,,,,,,,,No,,,,,
831040323,006265265,,,,F,No,,Asian,Asian,,,,TX,77046-3631,United States,UGRD,Freshman,Yes,,None,,10/31/2022,,,,,,,,,2023 August (Fall Semester),Nursing,Nursing,,App Received FRE,,,,Lamar High School,443405,Houston,TX,,Yes,,,,,,,,,High School,,,,Public,,,,,,,,,No,,,,,
253732828,006261916,,,,M,No,,White,White,,,,IL,60068-2149,United States,UGRD,Freshman,No,,None,,10/23/2022,,,,10/24/2022,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,Business Administration,,,,Maine South High School,143377,Park Ridge,IL,Y,Yes,3.88,3.88,4,Unweighted,,,,Gold,High School,,,,Public,,,,,,,,,No,,,,,
042789574,006257452,,,,F,No,,White,White,,,,IL,62234-6929,United States,UGRD,Freshman,No,,None,,9/17/2022,,,,9/21/2022,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,Admit FRE,,,,Father McGivney Catholic High School,140151,Maryville,IL,,Yes,3.9,3.9,4,Unweighted,5,3,,,High School,,,,CatholicIndependent,,,,,,,,,No,,,,,
984620128,006260973,,,,M,No,,American Indian or Alaska NativeWhite,Native American or Alaskan Native,,,,WI,53029,United States,UGRD,Freshman,No,Father,None,,10/18/2022,,,,10/19/2022,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,Admit FRE,,,,Arrowhead High School,500853,Hartland,WI,Y,Yes,3.8,3.8,4,Unweighted,5,3,,Gold,High School,,,,Public,,,,,,,,,No,,,,,
631965193,006259742,,,,F,No,,White,White,,,,WA,98075-9513,United States,UGRD,Freshman,No,,None,,10/12/2022,,,,10/19/2022,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,Admit FRE,,,,Skyline High School,480501,Sammamish,WA,,No,3.96,3.96,4,Unweighted,4,3,31,,High School,,,,Public,,,,,,,,,No,Yes,,,,
486219537,006263961,,,,M,No,,White,White,,,,NY,10583-5854,United States,UGRD,Freshman,No,,None,,10/29/2022,,,,,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,To Be Entered Fast Pass FRE,,,,Scarsdale High School,335090,Scarsdale,NY,,No,,,,,,,30,,High School,,,,Public,,,,,,,,,No,,,,,
